mean_AccX(g),min_AccX(g),max_AccX(g),mean_ΔAccX,min_ΔAccX,max_ΔAccX,mean_AccY(g),min_AccY(g),max_AccY(g),mean_ΔAccY,min_ΔAccY,max_ΔAccY,mean_AccZ(g),min_AccZ(g),max_AccZ(g),mean_ΔAccZ,min_ΔAccZ,max_ΔAccZ,mean_GyrX(d/s),min_GyrX(d/s),max_GyrX(d/s),mean_ΔGyrX,min_ΔGyrX,max_ΔGyrX,mean_GyrY(d/s),min_GyrY(d/s),max_GyrY(d/s),mean_ΔGyrY,min_ΔGyrY,max_ΔGyrY,mean_GyrZ(d/s),min_GyrZ(d/s),max_GyrZ(d/s),mean_ΔGyrZ,min_ΔGyrZ,max_ΔGyrZ,isFall
7.24421052631579,0.1,31.98,11.736842105263158,-82,292,27.49184210526316,0.01,31.99,1714.7368421052631,-81,64524,28.002105263157894,0.02,31.88,1598.1315789473683,-231,60290,3909.344473684211,3905.37,3911.22,-2.9473684210526314,-64,48,1689.201842105263,0.43,3996.04,-1749.6315789473683,-65528,257,2101.1473684210528,3.9,3995.43,-23.736842105263158,-774,73,1
7.153636363636363,0.12,32.0,-4352.272727272727,-65512,64,30.910681818181818,0.3,32.0,-10.090909090909092,-258,105,12.9375,0.04,31.99,-312.6818181818182,-13294,100,3906.2977272727267,3903.41,3908.29,0.0,-64,64,2010.8963636363633,0.49,3994.51,1499.659090909091,-101,65477,1889.5740909090907,1.04,3995.3,223.79545454545453,-77,9772,1
6.542307692307692,0.02,32.0,-23.346153846153847,-65375,65490,29.248076923076926,0.18,31.88,2.1153846153846154,-153,138,31.175769230769234,27.59,32.0,-2538.9615384615386,-65532,232,3907.0923076923073,3904.39,3909.27,-1.2307692307692308,-64,48,1997.8123076923077,1.65,3995.24,4.923076923076923,-188,228,2745.666153846154,11.65,3994.94,-10.23076923076923,-421,173,1
6.198214285714286,0.06,31.92,14.785714285714286,-73,275,29.483928571428574,0.07,31.87,-53.0,-886,38,30.256428571428568,0.01,31.99,-2402.8928571428573,-65516,130,3910.522142857143,3908.29,3912.2,-6.285714285714286,-64,48,2846.0885714285714,0.18,3995.79,2310.8928571428573,-613,65402,2686.877857142857,0.55,3993.78,2.9285714285714284,-84,324,1
4.486666666666667,0.08,31.92,-13.375,-194,47,30.475000000000005,0.23,31.96,-3.5833333333333335,-130,204,31.252083333333335,30.34,31.89,25.333333333333332,-111,419,3913.617083333333,3911.22,3917.07,-2.6666666666666665,-48,48,2498.0237500000003,3.48,3995.73,-2722.5,-65463,113,2795.5241666666666,3.29,3995.91,-7.666666666666667,-93,75,1
4.1425925925925915,0.03,31.98,-2409.296296296296,-65185,214,29.430370370370365,0.14,31.95,2384.037037037037,-199,64586,31.391111111111112,30.35,31.93,-35.77777777777778,-478,76,3916.0262962962966,3914.15,3919.02,0.5925925925925926,-48,32,2359.8522222222223,1.1,3995.85,-2402.777777777778,-65532,65230,3522.353333333333,6.77,3994.21,24.22222222222222,-276,842,1
2.8084999999999996,0.01,31.99,6.925,-65136,64724,31.824249999999996,31.6,31.98,-3283.475,-65492,64,28.098000000000003,0.03,31.99,-44.15,-1420,53,3920.903,3918.05,3924.88,0.0,-32,48,2092.33125,0.0,3995.61,1612.3,-1125,65532,2373.77575,0.0,3995.37,1625.9,-65507,65531,1
3.7453125000000003,0.04,31.99,-2146.03125,-65492,54,26.900937499999998,0.02,31.93,4.15625,-63,161,20.616875,0.0,31.99,63.34375,-136,2228,3919.5115625,3917.07,3923.9,0.0,-32,48,2613.551875,1.28,3995.61,-2108.53125,-65489,73,2849.3365625,0.85,3995.43,52.46875,-160,1726,1
4.145925925925926,0.06,31.99,-2429.814814814815,-65228,165,20.10333333333333,0.02,31.95,14.851851851851851,-67,333,31.37592592592592,30.23,31.94,36.925925925925924,-173,992,3923.3607407407403,3920.98,3926.83,5.333333333333333,-48,64,2805.2688888888883,0.3,3995.67,-43.44444444444444,-1005,31,2795.5503703703703,0.18,3995.12,-63.03703703703704,-1088,144,1
5.680526315789473,0.09,31.86,32.78947368421053,-61,288,21.857368421052634,0.11,31.99,-9.421052631578947,-184,73,31.484210526315792,30.57,31.92,-15.368421052631579,-561,260,3925.8010526315798,3923.9,3928.78,3.3684210526315788,-48,64,3152.6257894736837,6.52,3995.98,5.526315789473684,-38,132,3324.349473684211,38.11,3989.94,9.157894736842104,-35,157,1
2.208292682926829,0.05,31.96,1.1219512195121952,-65094,65360,19.59682926829268,0.21,31.96,-18.414634146341463,-662,190,15.468536585365852,0.0,32.0,-1596.121951219512,-65502,139,3903.2704878048785,3901.46,3905.37,3.1219512195121952,-48,64,983.7746341463413,0.55,3995.79,12.121951219512194,-88,296,1751.7397560975608,0.85,3995.91,-1608.0731707317073,-65533,92,1
16.013823529411766,0.13,31.54,-4.029411764705882,-92,194,31.455882352941178,30.98,31.94,-1935.235294117647,-65396,40,14.282352941176471,0.01,31.99,-2.264705882352941,-65518,65514,3905.5676470588232,3903.41,3907.32,6.588235294117647,-32,64,2129.337941176471,0.73,3991.1,7.5,-229,144,1647.6200000000001,1.52,3995.98,-3844.9117647058824,-65518,248,1
2.5327272727272727,0.06,31.83,-19.727272727272727,-496,91,18.503939393939394,0.11,31.92,0.15151515151515152,-146,98,11.393030303030304,0.04,31.94,20.151515151515152,-39,412,3908.1154545454547,3905.37,3910.24,-4.848484848484849,-48,64,1941.847575757576,0.18,3995.79,0.18181818181818182,-186,270,2290.5833333333335,0.06,3995.91,-1996.7878787878788,-65531,65526,1
