min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,classe
-21244.0,-25752.0,-12008.0,-1168.0,-14290.0,-14326.0,14412.0,2988.0,10964.0,-1056.0,17479.0,32767.0,870.1725888324873,-12493.837563451776,-2672.5380710659897,-1108.954314720812,1329.507614213198,1713.0507614213195,9754.934983829518,5326.404563838095,3870.4775285889486,18.873421382533603,4533.279453132779,7973.838793774201,17148.311519669223,7560.600806028866,1
-10688.0,-23180.0,-12208.0,-1120.0,-21503.0,-30221.0,20140.0,5036.0,27848.0,-1024.0,17700.0,21590.0,1868.640522875817,-13379.124183006536,2199.960784313725,-1075.6078431372548,-1398.7124183006536,186.33986928104576,5733.807509591747,4471.379406294673,7630.5282934851775,19.98569269105795,7574.468746592976,12204.15396422579,16942.920593922798,12946.719083859622,1
-9816.0,-21304.0,-7232.0,-816.0,-17202.0,-10618.0,6608.0,-6100.0,9708.0,-752.0,13491.0,18449.0,584.56,-15736.08,3348.48,-775.68,-1817.24,977.3,4177.216068914799,2484.173325998007,3468.051638831233,18.72478571305957,6881.947301629097,6759.216360644184,17024.467180023486,8634.115365418218,0
-22796.0,-32768.0,-32768.0,-1360.0,-32768.0,-32768.0,32767.0,20036.0,17120.0,-1216.0,29321.0,32767.0,544.4407894736842,-10851.28947368421,-7697.657894736842,-1284.2105263157894,-2417.1381578947367,271.0855263157895,5549.479494005618,7562.657206396978,9997.61756297947,32.30052785517586,10742.294224141213,11711.21063899216,17489.670809016337,10493.462114824504,1
-12916.0,-28032.0,-6904.0,-1312.0,-17764.0,-18196.0,9948.0,-212.0,23660.0,-1200.0,15951.0,21704.0,2358.4415584415583,-11843.792207792209,6906.638961038961,-1247.9168831168831,803.9012987012987,-136.6025974025974,3851.9820180478255,5382.684028830319,6837.892827779354,19.296547047266703,6606.5467467907,6408.57527862562,16585.341614385197,8193.531289929197,1
-21432.0,-22472.0,-14808.0,-1056.0,-7390.0,-32233.0,17212.0,5332.0,16100.0,-960.0,12836.0,32767.0,1137.4386694386694,-12064.141372141372,-1983.525987525988,-1007.8004158004156,1088.742203742204,1747.97920997921,9904.223610736868,5413.243906690288,4901.6063665718175,19.574519900854263,3726.0775036865134,10216.589977521782,17208.151228056857,8492.170235093328,1
-18044.0,-14936.0,-14968.0,-832.0,-884.0,-14589.0,2292.0,17160.0,-648.0,-752.0,16178.0,5367.0,-4328.4,6159.28,-5920.08,-799.04,4774.96,-1200.06,5636.608072236351,12328.643427465977,3016.6211020941955,17.05633020318263,5007.960534828524,3698.53519334344,16770.843404168405,5978.532119690882,0
-17684.0,-26440.0,-21652.0,-1424.0,-9581.0,-31901.0,21552.0,2432.0,4396.0,-1328.0,12283.0,32767.0,-1752.4925373134329,-9823.119402985074,-7526.55223880597,-1380.9253731343283,408.5820895522388,-296.1324626865672,9429.828050968896,5553.060740056591,5925.430591529387,18.598116926693944,3344.245073654784,5751.328034760649,17372.778127013087,5147.073241860628,1
-11904.0,-19132.0,-7764.0,-1008.0,-9270.0,-6907.0,-3692.0,-10852.0,-968.0,-928.0,7687.0,6714.0,-8261.84,-13764.8,-4681.28,-972.48,-288.54,139.92,1711.019571600512,1594.7323286370035,1336.828830329448,20.058155448594967,3786.2018604929135,2783.48112865886,16860.24566813891,4032.9631763445545,0
-17204.0,-18356.0,-7392.0,-864.0,-9493.0,-20053.0,1176.0,8460.0,8376.0,-752.0,11614.0,25050.0,-10340.24,-5222.64,212.88,-794.56,207.86,1642.48,5070.922624375174,9798.109159955302,4776.913767863096,19.62463757627131,5095.50014428417,11423.61868278174,16587.46659587714,10245.845450805484,0
-9696.0,-22948.0,-7964.0,-1152.0,-16702.0,-25432.0,12812.0,-1384.0,24072.0,-1040.0,17026.0,16429.0,2428.959128065395,-11818.17983651226,6409.569482288828,-1100.817438692098,725.6948228882834,-2390.310626702997,4286.513553917772,4800.070521771566,7435.5876503248,19.16362701902149,6443.816447011797,8642.884831706237,16545.292741192585,9376.873585309026,1
-14536.0,-27624.0,-11552.0,-1088.0,-18690.0,-26813.0,26200.0,3380.0,16168.0,-928.0,14350.0,32767.0,4732.643356643357,-9433.348251748252,8875.255944055943,-1015.3622377622378,1164.4013986013986,-908.379020979021,3050.8468195178466,5734.001473273611,6583.1493817203545,20.81087600336385,3607.10860978641,6260.629209679993,16413.058429215722,4924.268852855356,1
-23684.0,-31272.0,-12644.0,-1200.0,-9269.0,-31443.0,14028.0,4776.0,12636.0,-1104.0,11562.0,32767.0,412.7470588235294,-13812.19411764706,-2351.4058823529413,-1147.6941176470589,310.1588235294118,-2599.5176470588235,7863.854955398794,4766.494697730693,4031.526816300945,18.46588175331293,3191.374828863651,9100.560283316452,17054.800784908934,8318.007515995161,1
-9572.0,-16344.0,4380.0,-720.0,-2758.0,-5177.0,-2480.0,-11344.0,8044.0,-624.0,3721.0,4399.0,-6154.8,-13363.6,6178.48,-674.56,-368.96,-672.22,2034.2660199688733,1254.8015301233895,748.8465327421901,17.041314503288763,1759.63331361963,2049.1673947240133,16137.54332639038,2612.4394250088862,0
-20284.0,-6580.0,-15200.0,-1056.0,-10727.0,-10298.0,-4336.0,14848.0,-2912.0,-960.0,5525.0,5257.0,-11053.12,5603.92,-8919.28,-993.92,-2333.42,-1347.44,3247.1273744034124,6317.593490689314,2724.712234640569,19.6324629122278,4342.79832407631,3769.4285517038256,16931.04874825923,5660.104111151282,0
-3904.0,-27740.0,-9516.0,-1472.0,-17261.0,-10012.0,14976.0,-3404.0,17916.0,-1344.0,11192.0,28018.0,4728.207039337474,-12782.848861283645,2331.213250517598,-1410.7826086956522,-2281.289855072464,6675.026915113872,3539.472217179043,4990.329281253406,7877.643578505526,19.253360004310327,5331.57622454535,8276.120487542901,16917.42066312756,9872.549106060746,1
-6820.0,-24656.0,-2784.0,-1040.0,-6581.0,-4132.0,3692.0,-11912.0,9752.0,-960.0,6758.0,15945.0,-2272.08,-15326.16,3044.72,-988.48,-83.82,5134.72,1901.5570024587744,2645.6375213547303,3879.68317799276,17.899988826812155,3116.621290371995,4360.577769241136,16445.912800564172,6573.721400619382,0
-14104.0,-25924.0,-17576.0,-1376.0,-24093.0,-29996.0,21932.0,-460.0,26668.0,-1264.0,27409.0,27420.0,-1351.6780354706684,-14143.399727148704,1568.4856753069578,-1315.5361527967257,215.49795361527967,493.8540245566167,4729.696443483288,4780.490943849713,6686.201048215779,19.6555013648338,6716.268258255054,6716.52223269549,16941.906217687843,7335.036114565315,1
-17120.0,-26872.0,-15412.0,-1104.0,-11380.0,-27830.0,22140.0,-4540.0,3644.0,-1008.0,10604.0,32767.0,1795.8110236220473,-13398.068241469817,-3942.2047244094488,-1061.8372703412074,528.7139107611548,2688.8792650918635,8796.900029386352,3391.300236956376,3841.257549180709,17.700476049854778,3954.077083823685,7669.939196418813,17187.68574524483,7120.645889479409,1
-9752.0,-25720.0,-8256.0,-1184.0,-13214.0,-23036.0,13924.0,7252.0,23188.0,-1056.0,18480.0,15990.0,2589.293276108727,-12094.226037195996,5801.339055793991,-1120.6638054363375,509.9141630901288,-852.8855507868384,4398.851541963885,5207.589796190544,6680.322543103061,20.62749509865705,4795.477202300334,6024.559565265153,16503.861374384247,6433.244279856042,1
